Month,Year,Gaps,Good,Minimum,Maximum,Mean,Std_Dev,Location,Latitude,Longitude
10,1992,5520,1920,0.181,2.248,1.225,0.556,FIJI,-18.1239696,179.0122737
11,1992,0,7200,0.206,2.194,1.218,0.473,FIJI,-18.1239696,179.0122737
12,1992,0,7440,0.277,2.609,1.283,0.474,FIJI,-18.1239696,179.0122737
1,1993,0,7440,0.042,2.160,1.169,0.480,FIJI,-18.1239696,179.0122737
2,1993,0,6720,0.050,2.270,1.197,0.502,FIJI,-18.1239696,179.0122737
3,1993,0,7440,0.130,2.289,1.183,0.483,FIJI,-18.1239696,179.0122737
4,1993,0,7200,0.138,2.278,1.164,0.484,FIJI,-18.1239696,179.0122737
5,1993,0,7440,0.128,2.196,1.176,0.489,FIJI,-18.1239696,179.0122737
6,1993,0,7200,0.202,2.174,1.177,0.485,FIJI,-18.1239696,179.0122737
7,1993,0,7440,0.191,2.139,1.2,0.486,FIJI,-18.1239696,179.0122737
8,1993,0,7440,0.112,2.145,1.171,0.490,FIJI,-18.1239696,179.0122737
9,1993,0,7200,0.132,2.255,1.169,0.486,FIJI,-18.1239696,179.0122737
10,1993,0,7440,0.148,2.302,1.232,0.478,FIJI,-18.1239696,179.0122737
11,1993,0,7200,0.133,2.363,1.25,0.480,FIJI,-18.1239696,179.0122737
12,1993,720,6720,0.204,2.325,1.269,0.488,FIJI,-18.1239696,179.0122737
1,1994,0,7440,0.189,2.186,1.239,0.498,FIJI,-18.1239696,179.0122737
2,1994,0,6720,0.229,2.231,1.27,0.486,FIJI,-18.1239696,179.0122737
3,1994,0,7440,0.118,2.297,1.249,0.498,FIJI,-18.1239696,179.0122737
4,1994,0,7200,0.095,2.297,1.239,0.489,FIJI,-18.1239696,179.0122737
5,1994,0,7440,0.023,2.231,1.174,0.486,FIJI,-18.1239696,179.0122737
6,1994,0,7200,0.065,2.198,1.154,0.478,FIJI,-18.1239696,179.0122737
7,1994,0,7440,0.175,2.147,1.185,0.467,FIJI,-18.1239696,179.0122737
8,1994,0,7440,0.244,2.093,1.199,0.470,FIJI,-18.1239696,179.0122737
9,1994,0,7200,0.210,2.108,1.144,0.482,FIJI,-18.1239696,179.0122737
10,1994,0,7440,0.171,2.242,1.18,0.490,FIJI,-18.1239696,179.0122737
11,1994,0,7200,0.093,2.313,1.243,0.502,FIJI,-18.1239696,179.0122737
12,1994,0,7440,0.089,2.330,1.238,0.506,FIJI,-18.1239696,179.0122737
1,1995,0,7440,0.114,2.324,1.26,0.497,FIJI,-18.1239696,179.0122737
2,1995,0,6720,0.290,2.272,1.257,0.477,FIJI,-18.1239696,179.0122737
3,1995,0,7440,0.320,2.210,1.265,0.488,FIJI,-18.1239696,179.0122737
4,1995,0,7200,0.181,2.186,1.208,0.481,FIJI,-18.1239696,179.0122737
5,1995,0,7440,0.023,2.187,1.125,0.476,FIJI,-18.1239696,179.0122737
6,1995,0,7200,-0.036,2.178,1.083,0.480,FIJI,-18.1239696,179.0122737
7,1995,0,7440,0.024,2.230,1.136,0.488,FIJI,-18.1239696,179.0122737
8,1995,0,7440,0.092,2.254,1.2,0.493,FIJI,-18.1239696,179.0122737
9,1995,960,6240,0.212,2.174,1.227,0.485,FIJI,-18.1239696,179.0122737
10,1995,7440,0,,,,,FIJI,-18.1239696,179.0122737
11,1995,2580,4620,0.201,2.330,1.294,0.489,FIJI,-18.1239696,179.0122737
12,1995,0,7440,0.149,2.404,1.291,0.495,FIJI,-18.1239696,179.0122737
1,1996,290,7150,0.122,2.404,1.268,0.496,FIJI,-18.1239696,179.0122737
2,1996,0,6960,0.178,2.364,1.271,0.490,FIJI,-18.1239696,179.0122737
3,1996,0,7440,0.276,2.249,1.268,0.480,FIJI,-18.1239696,179.0122737
4,1996,0,7200,0.320,2.152,1.243,0.486,FIJI,-18.1239696,179.0122737
5,1996,0,7440,0.186,2.132,1.173,0.487,FIJI,-18.1239696,179.0122737
6,1996,0,7200,0.105,2.248,1.177,0.482,FIJI,-18.1239696,179.0122737
7,1996,0,7440,0.090,2.350,1.226,0.504,FIJI,-18.1239696,179.0122737
8,1996,0,7440,0.104,2.314,1.218,0.509,FIJI,-18.1239696,179.0122737
9,1996,0,7200,0.243,2.264,1.288,0.497,FIJI,-18.1239696,179.0122737
10,1996,0,7440,0.360,2.310,1.305,0.485,FIJI,-18.1239696,179.0122737
11,1996,231,6969,0.326,2.238,1.306,0.491,FIJI,-18.1239696,179.0122737
12,1996,0,7440,0.276,2.351,1.362,0.490,FIJI,-18.1239696,179.0122737
1,1997,0,7440,0.165,2.381,1.349,0.489,FIJI,-18.1239696,179.0122737
2,1997,0,6720,0.213,2.445,1.369,0.506,FIJI,-18.1239696,179.0122737
3,1997,0,7440,0.233,2.777,1.368,0.503,FIJI,-18.1239696,179.0122737
4,1997,0,7200,0.298,2.389,1.333,0.496,FIJI,-18.1239696,179.0122737
5,1997,0,7440,0.226,2.407,1.242,0.500,FIJI,-18.1239696,179.0122737
6,1997,0,7200,0.216,2.162,1.229,0.498,FIJI,-18.1239696,179.0122737
7,1997,0,7440,0.112,2.206,1.229,0.495,FIJI,-18.1239696,179.0122737
8,1997,0,7440,0.088,2.285,1.2,0.496,FIJI,-18.1239696,179.0122737
9,1997,0,7200,0.113,2.290,1.211,0.495,FIJI,-18.1239696,179.0122737
10,1997,0,7440,0.130,2.268,1.237,0.496,FIJI,-18.1239696,179.0122737
11,1997,0,7200,0.162,2.287,1.223,0.493,FIJI,-18.1239696,179.0122737
12,1997,0,7440,0.172,2.220,1.254,0.497,FIJI,-18.1239696,179.0122737
1,1998,120,7320,0.191,2.315,1.263,0.506,FIJI,-18.1239696,179.0122737
2,1998,277,6443,0.164,2.323,1.252,0.498,FIJI,-18.1239696,179.0122737
3,1998,0,7440,0.100,2.247,1.2,0.515,FIJI,-18.1239696,179.0122737
4,1998,0,7200,0.065,2.197,1.148,0.491,FIJI,-18.1239696,179.0122737
5,1998,0,7440,0.047,2.166,1.131,0.483,FIJI,-18.1239696,179.0122737
6,1998,0,7200,0.111,2.136,1.158,0.476,FIJI,-18.1239696,179.0122737
7,1998,0,7440,0.171,2.047,1.136,0.470,FIJI,-18.1239696,179.0122737
8,1998,0,7440,0.157,2.092,1.131,0.477,FIJI,-18.1239696,179.0122737
9,1998,0,7200,0.062,2.098,1.124,0.488,FIJI,-18.1239696,179.0122737
10,1998,0,7440,0.100,2.224,1.142,0.499,FIJI,-18.1239696,179.0122737
11,1998,0,7200,0.073,2.281,1.187,0.504,FIJI,-18.1239696,179.0122737
12,1998,0,7440,0.028,2.310,1.165,0.512,FIJI,-18.1239696,179.0122737
1,1999,0,7440,-0.054,2.113,1.11,0.497,FIJI,-18.1239696,179.0122737
2,1999,0,6720,0.108,2.121,1.158,0.484,FIJI,-18.1239696,179.0122737
3,1999,0,7440,0.177,2.132,1.191,0.501,FIJI,-18.1239696,179.0122737
4,1999,0,7200,0.136,2.219,1.179,0.491,FIJI,-18.1239696,179.0122737
5,1999,0,7440,0.168,2.316,1.233,0.486,FIJI,-18.1239696,179.0122737
6,1999,0,7200,0.084,2.271,1.219,0.488,FIJI,-18.1239696,179.0122737
7,1999,0,7440,0.136,2.272,1.233,0.493,FIJI,-18.1239696,179.0122737
8,1999,0,7440,0.163,2.239,1.209,0.494,FIJI,-18.1239696,179.0122737
9,1999,0,7200,0.240,2.158,1.231,0.491,FIJI,-18.1239696,179.0122737
10,1999,0,7440,0.188,2.267,1.242,0.492,FIJI,-18.1239696,179.0122737
11,1999,0,7200,0.179,2.343,1.255,0.492,FIJI,-18.1239696,179.0122737
12,1999,0,7440,0.120,2.350,1.246,0.489,FIJI,-18.1239696,179.0122737
1,2000,0,7440,0.215,2.476,1.326,0.485,FIJI,-18.1239696,179.0122737
2,2000,0,6960,0.216,2.338,1.322,0.489,FIJI,-18.1239696,179.0122737
3,2000,0,7440,0.305,2.254,1.309,0.478,FIJI,-18.1239696,179.0122737
4,2000,0,7200,0.324,2.227,1.258,0.481,FIJI,-18.1239696,179.0122737
5,2000,0,7440,0.261,2.195,1.248,0.481,FIJI,-18.1239696,179.0122737
6,2000,0,7200,0.163,2.316,1.281,0.486,FIJI,-18.1239696,179.0122737
7,2000,0,7440,0.179,2.368,1.296,0.497,FIJI,-18.1239696,179.0122737
8,2000,0,7440,0.174,2.401,1.324,0.503,FIJI,-18.1239696,179.0122737
9,2000,0,7200,0.264,2.242,1.301,0.489,FIJI,-18.1239696,179.0122737
10,2000,0,7440,0.351,2.220,1.304,0.477,FIJI,-18.1239696,179.0122737
11,2000,0,7200,0.305,2.248,1.277,0.474,FIJI,-18.1239696,179.0122737
12,2000,0,7440,0.149,2.412,1.277,0.479,FIJI,-18.1239696,179.0122737
1,2001,0,7440,0.128,2.371,1.29,0.477,FIJI,-18.1239696,179.0122737
2,2001,0,6720,0.185,2.452,1.329,0.498,FIJI,-18.1239696,179.0122737
3,2001,0,7440,0.160,2.332,1.276,0.486,FIJI,-18.1239696,179.0122737
4,2001,0,7200,0.280,2.289,1.286,0.484,FIJI,-18.1239696,179.0122737
5,2001,0,7440,0.287,2.222,1.254,0.484,FIJI,-18.1239696,179.0122737
6,2001,0,7200,0.184,2.149,1.201,0.485,FIJI,-18.1239696,179.0122737
7,2001,0,7440,0.087,2.210,1.184,0.480,FIJI,-18.1239696,179.0122737
8,2001,0,7440,0.082,2.281,1.248,0.480,FIJI,-18.1239696,179.0122737
9,2001,0,7200,0.182,2.346,1.289,0.484,FIJI,-18.1239696,179.0122737
10,2001,0,7440,0.295,2.354,1.306,0.482,FIJI,-18.1239696,179.0122737
11,2001,0,7200,0.280,2.328,1.308,0.477,FIJI,-18.1239696,179.0122737
12,2001,0,7440,0.275,2.270,1.301,0.476,FIJI,-18.1239696,179.0122737
1,2002,0,7440,0.189,2.325,1.295,0.492,FIJI,-18.1239696,179.0122737
2,2002,0,6720,0.150,2.305,1.303,0.479,FIJI,-18.1239696,179.0122737
3,2002,0,7440,0.231,2.365,1.293,0.501,FIJI,-18.1239696,179.0122737
4,2002,0,7200,0.251,2.361,1.302,0.485,FIJI,-18.1239696,179.0122737
5,2002,0,7440,0.156,2.188,1.225,0.470,FIJI,-18.1239696,179.0122737
6,2002,0,7200,0.282,2.187,1.234,0.466,FIJI,-18.1239696,179.0122737
7,2002,0,7440,0.255,2.181,1.239,0.461,FIJI,-18.1239696,179.0122737
8,2002,0,7440,0.217,2.199,1.253,0.464,FIJI,-18.1239696,179.0122737
9,2002,0,7200,0.199,2.281,1.252,0.476,FIJI,-18.1239696,179.0122737
10,2002,0,7440,0.287,2.405,1.288,0.479,FIJI,-18.1239696,179.0122737
11,2002,0,7200,0.229,2.403,1.307,0.485,FIJI,-18.1239696,179.0122737
12,2002,0,7440,0.206,2.340,1.257,0.481,FIJI,-18.1239696,179.0122737
1,2003,0,7440,0.207,2.272,1.253,0.487,FIJI,-18.1239696,179.0122737
2,2003,0,6720,0.219,2.205,1.26,0.475,FIJI,-18.1239696,179.0122737
3,2003,0,7440,0.180,2.245,1.253,0.487,FIJI,-18.1239696,179.0122737
4,2003,0,7200,0.133,2.259,1.231,0.481,FIJI,-18.1239696,179.0122737
5,2003,0,7440,0.120,2.258,1.17,0.471,FIJI,-18.1239696,179.0122737
6,2003,0,7200,0.069,2.145,1.143,0.462,FIJI,-18.1239696,179.0122737
7,2003,0,7440,0.127,2.160,1.168,0.472,FIJI,-18.1239696,179.0122737
8,2003,0,7440,0.139,2.056,1.146,0.481,FIJI,-18.1239696,179.0122737
9,2003,0,7200,0.234,2.274,1.179,0.482,FIJI,-18.1239696,179.0122737
10,2003,0,7440,0.184,2.299,1.23,0.475,FIJI,-18.1239696,179.0122737
11,2003,0,7200,0.157,2.295,1.225,0.469,FIJI,-18.1239696,179.0122737
12,2003,0,7440,0.110,2.294,1.257,0.468,FIJI,-18.1239696,179.0122737
1,2004,0,7440,0.132,2.243,1.245,0.467,FIJI,-18.1239696,179.0122737
2,2004,0,6960,0.251,2.237,1.269,0.467,FIJI,-18.1239696,179.0122737
3,2004,0,7440,0.359,2.167,1.279,0.462,FIJI,-18.1239696,179.0122737
4,2004,0,7200,0.393,2.296,1.24,0.464,FIJI,-18.1239696,179.0122737
5,2004,0,7440,0.223,2.244,1.234,0.473,FIJI,-18.1239696,179.0122737
6,2004,0,7200,0.156,2.236,1.207,0.470,FIJI,-18.1239696,179.0122737
7,2004,0,7440,0.108,2.298,1.224,0.483,FIJI,-18.1239696,179.0122737
8,2004,0,7440,0.133,2.285,1.21,0.491,FIJI,-18.1239696,179.0122737
9,2004,0,7200,0.270,2.139,1.236,0.475,FIJI,-18.1239696,179.0122737
10,2004,0,7440,0.390,2.205,1.266,0.463,FIJI,-18.1239696,179.0122737
11,2004,0,7200,0.262,2.249,1.266,0.455,FIJI,-18.1239696,179.0122737
12,2004,0,7440,0.135,2.268,1.23,0.461,FIJI,-18.1239696,179.0122737
1,2005,0,7440,0.069,2.292,1.274,0.469,FIJI,-18.1239696,179.0122737
2,2005,0,6720,0.187,2.363,1.314,0.477,FIJI,-18.1239696,179.0122737
3,2005,0,7440,0.183,2.262,1.237,0.467,FIJI,-18.1239696,179.0122737
4,2005,0,7200,0.288,2.200,1.237,0.470,FIJI,-18.1239696,179.0122737
5,2005,0,7440,0.216,2.119,1.173,0.466,FIJI,-18.1239696,179.0122737
6,2005,0,7200,0.104,2.116,1.155,0.463,FIJI,-18.1239696,179.0122737
7,2005,0,7440,0.088,2.261,1.185,0.460,FIJI,-18.1239696,179.0122737
8,2005,1720,5720,0.022,2.216,1.163,0.489,FIJI,-18.1239696,179.0122737
9,2005,0,7200,0.143,2.215,1.213,0.464,FIJI,-18.1239696,179.0122737
10,2005,2840,4600,0.431,2.049,1.25,0.422,FIJI,-18.1239696,179.0122737
11,2005,0,7200,0.293,2.183,1.246,0.461,FIJI,-18.1239696,179.0122737
12,2005,0,7440,0.237,2.218,1.242,0.464,FIJI,-18.1239696,179.0122737
1,2006,0,7440,0.152,2.359,1.284,0.484,FIJI,-18.1239696,179.0122737
2,2006,0,6720,0.094,2.318,1.233,0.469,FIJI,-18.1239696,179.0122737
3,2006,0,7440,0.165,2.279,1.232,0.492,FIJI,-18.1239696,179.0122737
4,2006,0,7200,0.239,2.196,1.233,0.462,FIJI,-18.1239696,179.0122737
5,2006,0,7440,0.284,2.214,1.222,0.450,FIJI,-18.1239696,179.0122737
6,2006,0,7200,0.300,2.114,1.268,0.450,FIJI,-18.1239696,179.0122737
7,2006,0,7440,0.231,2.203,1.242,0.453,FIJI,-18.1239696,179.0122737
8,2006,0,7440,0.181,2.287,1.253,0.457,FIJI,-18.1239696,179.0122737
9,2006,0,7200,0.148,2.256,1.249,0.465,FIJI,-18.1239696,179.0122737
10,2006,0,7440,0.219,2.289,1.254,0.467,FIJI,-18.1239696,179.0122737
11,2006,0,7200,0.214,2.321,1.292,0.474,FIJI,-18.1239696,179.0122737
12,2006,0,7440,0.283,2.291,1.298,0.478,FIJI,-18.1239696,179.0122737
1,2007,0,7440,0.310,2.265,1.341,0.477,FIJI,-18.1239696,179.0122737
2,2007,0,6720,0.230,2.273,1.306,0.476,FIJI,-18.1239696,179.0122737
3,2007,0,7440,0.256,2.340,1.297,0.477,FIJI,-18.1239696,179.0122737
4,2007,0,7200,0.201,2.314,1.255,0.472,FIJI,-18.1239696,179.0122737
5,2007,0,7440,0.117,2.234,1.218,0.456,FIJI,-18.1239696,179.0122737
6,2007,0,7200,0.210,2.165,1.197,0.447,FIJI,-18.1239696,179.0122737
7,2007,0,7440,0.248,2.178,1.267,0.459,FIJI,-18.1239696,179.0122737
8,2007,0,7440,0.261,2.226,1.297,0.485,FIJI,-18.1239696,179.0122737
9,2007,0,7200,0.328,2.389,1.306,0.489,FIJI,-18.1239696,179.0122737
10,2007,0,7440,0.221,2.349,1.31,0.476,FIJI,-18.1239696,179.0122737
11,2007,0,7200,0.188,2.374,1.323,0.471,FIJI,-18.1239696,179.0122737
12,2007,0,7440,0.219,2.321,1.326,0.459,FIJI,-18.1239696,179.0122737
1,2008,0,7440,0.223,2.266,1.326,0.460,FIJI,-18.1239696,179.0122737
2,2008,0,6960,0.304,2.263,1.302,0.466,FIJI,-18.1239696,179.0122737
3,2008,0,7440,0.453,2.280,1.367,0.458,FIJI,-18.1239696,179.0122737
4,2008,0,7200,0.364,2.351,1.319,0.470,FIJI,-18.1239696,179.0122737
5,2008,0,7440,0.220,2.322,1.26,0.475,FIJI,-18.1239696,179.0122737
6,2008,0,7200,0.143,2.243,1.249,0.468,FIJI,-18.1239696,179.0122737
7,2008,0,7440,0.166,2.306,1.281,0.480,FIJI,-18.1239696,179.0122737
8,2008,0,7440,0.213,2.324,1.329,0.491,FIJI,-18.1239696,179.0122737
9,2008,0,7200,0.428,2.274,1.364,0.487,FIJI,-18.1239696,179.0122737
10,2008,0,7440,0.390,2.374,1.357,0.480,FIJI,-18.1239696,179.0122737
11,2008,0,7200,0.222,2.352,1.338,0.470,FIJI,-18.1239696,179.0122737
12,2008,0,7440,0.230,2.407,1.358,0.468,FIJI,-18.1239696,179.0122737
1,2009,0,7440,0.256,2.519,1.383,0.475,FIJI,-18.1239696,179.0122737
2,2009,0,6720,0.287,2.462,1.39,0.487,FIJI,-18.1239696,179.0122737
3,2009,0,7440,0.371,2.357,1.392,0.482,FIJI,-18.1239696,179.0122737
4,2009,0,7200,0.375,2.255,1.357,0.472,FIJI,-18.1239696,179.0122737
5,2009,0,7440,0.234,2.262,1.296,0.468,FIJI,-18.1239696,179.0122737
6,2009,0,7200,0.157,2.307,1.305,0.474,FIJI,-18.1239696,179.0122737
7,2009,0,7440,0.170,2.400,1.333,0.476,FIJI,-18.1239696,179.0122737
8,2009,0,7440,0.210,2.415,1.348,0.478,FIJI,-18.1239696,179.0122737
9,2009,0,7200,0.261,2.342,1.343,0.478,FIJI,-18.1239696,179.0122737
10,2009,0,7440,0.350,2.274,1.304,0.473,FIJI,-18.1239696,179.0122737
11,2009,0,7200,0.299,2.208,1.3,0.469,FIJI,-18.1239696,179.0122737
12,2009,0,7440,0.219,2.309,1.294,0.485,FIJI,-18.1239696,179.0122737
1,2010,0,7440,0.169,2.437,1.335,0.498,FIJI,-18.1239696,179.0122737
2,2010,0,6720,0.184,2.421,1.307,0.474,FIJI,-18.1239696,179.0122737
3,2010,0,7440,0.237,2.419,1.258,0.492,FIJI,-18.1239696,179.0122737
4,2010,0,7200,0.259,2.391,1.266,0.471,FIJI,-18.1239696,179.0122737
5,2010,0,7440,0.283,2.154,1.237,0.469,FIJI,-18.1239696,179.0122737
6,2010,0,7200,0.199,2.127,1.226,0.471,FIJI,-18.1239696,179.0122737
7,2010,1840,5600,0.149,2.104,1.203,0.447,FIJI,-18.1239696,179.0122737
8,2010,0,7440,0.066,2.200,1.191,0.476,FIJI,-18.1239696,179.0122737
9,2010,0,7200,0.135,2.291,1.211,0.479,FIJI,-18.1239696,179.0122737
10,2010,0,7440,0.201,2.348,1.259,0.475,FIJI,-18.1239696,179.0122737
11,2010,2126,5074,0.221,2.245,1.256,0.492,FIJI,-18.1239696,179.0122737
12,2010,0,7440,0.240,2.203,1.258,0.489,FIJI,-18.1239696,179.0122737
1,2011,0,7440,0.239,2.312,1.287,0.488,FIJI,-18.1239696,179.0122737
2,2011,0,6720,0.184,2.335,1.295,0.494,FIJI,-18.1239696,179.0122737
3,2011,0,7440,0.253,2.388,1.312,0.487,FIJI,-18.1239696,179.0122737
4,2011,0,7200,0.218,2.398,1.293,0.483,FIJI,-18.1239696,179.0122737
5,2011,0,7440,0.263,2.364,1.319,0.469,FIJI,-18.1239696,179.0122737
6,2011,519,6681,0.295,2.271,1.307,0.466,FIJI,-18.1239696,179.0122737
7,2011,0,7440,0.330,2.273,1.319,0.488,FIJI,-18.1239696,179.0122737
8,2011,0,7440,0.317,2.358,1.323,0.506,FIJI,-18.1239696,179.0122737
9,2011,0,7200,0.313,2.478,1.333,0.506,FIJI,-18.1239696,179.0122737
10,2011,0,7440,0.243,2.479,1.357,0.500,FIJI,-18.1239696,179.0122737
11,2011,0,7200,0.179,2.364,1.32,0.484,FIJI,-18.1239696,179.0122737
12,2011,0,7440,0.266,2.415,1.317,0.478,FIJI,-18.1239696,179.0122737
1,2012,0,7440,0.322,2.324,1.359,0.471,FIJI,-18.1239696,179.0122737
2,2012,0,6960,0.338,2.235,1.341,0.486,FIJI,-18.1239696,179.0122737
3,2012,0,7440,0.390,2.393,1.427,0.477,FIJI,-18.1239696,179.0122737
4,2012,0,7200,0.348,2.494,1.413,0.487,FIJI,-18.1239696,179.0122737
5,2012,0,7440,0.275,2.487,1.348,0.491,FIJI,-18.1239696,179.0122737
6,2012,0,7200,0.195,2.343,1.319,0.489,FIJI,-18.1239696,179.0122737
7,2012,0,7440,0.287,2.414,1.37,0.496,FIJI,-18.1239696,179.0122737
8,2012,0,7440,0.319,2.357,1.356,0.503,FIJI,-18.1239696,179.0122737
9,2012,0,7200,0.406,2.348,1.373,0.501,FIJI,-18.1239696,179.0122737
10,2012,0,7440,0.295,2.424,1.359,0.491,FIJI,-18.1239696,179.0122737
11,2012,0,7200,0.184,2.414,1.346,0.491,FIJI,-18.1239696,179.0122737
12,2012,0,7440,0.241,2.529,1.376,0.492,FIJI,-18.1239696,179.0122737
1,2013,0,7440,0.225,2.515,1.383,0.500,FIJI,-18.1239696,179.0122737
2,2013,0,6720,0.198,2.303,1.307,0.499,FIJI,-18.1239696,179.0122737
3,2013,0,7440,0.365,2.256,1.293,0.492,FIJI,-18.1239696,179.0122737
4,2013,0,7200,0.280,2.337,1.305,0.495,FIJI,-18.1239696,179.0122737
5,2013,0,7440,0.186,2.387,1.277,0.498,FIJI,-18.1239696,179.0122737
6,2013,0,7200,0.079,2.318,1.27,0.498,FIJI,-18.1239696,179.0122737
7,2013,0,7440,0.096,2.308,1.241,0.487,FIJI,-18.1239696,179.0122737
8,2013,0,7440,0.193,2.315,1.236,0.484,FIJI,-18.1239696,179.0122737
9,2013,0,7200,0.310,2.272,1.279,0.488,FIJI,-18.1239696,179.0122737
10,2013,0,7440,0.375,2.227,1.299,0.483,FIJI,-18.1239696,179.0122737
11,2013,0,7200,0.276,2.272,1.336,0.489,FIJI,-18.1239696,179.0122737
12,2013,0,7440,0.239,2.403,1.353,0.498,FIJI,-18.1239696,179.0122737
1,2014,0,7440,0.138,2.522,1.367,0.514,FIJI,-18.1239696,179.0122737
2,2014,0,6720,0.192,2.423,1.34,0.490,FIJI,-18.1239696,179.0122737
3,2014,0,7440,0.209,2.377,1.31,0.514,FIJI,-18.1239696,179.0122737
4,2014,0,7200,0.329,2.253,1.32,0.495,FIJI,-18.1239696,179.0122737
5,2014,0,7440,0.293,2.274,1.256,0.492,FIJI,-18.1239696,179.0122737
6,2014,0,7200,0.183,2.277,1.271,0.491,FIJI,-18.1239696,179.0122737
7,2014,0,7440,0.151,2.380,1.256,0.494,FIJI,-18.1239696,179.0122737
8,2014,523,6917,0.079,2.308,1.206,0.492,FIJI,-18.1239696,179.0122737
9,2014,0,7200,0.135,2.309,1.235,0.500,FIJI,-18.1239696,179.0122737
10,2014,0,7440,0.254,2.346,1.256,0.495,FIJI,-18.1239696,179.0122737
11,2014,0,7200,0.276,2.262,1.238,0.496,FIJI,-18.1239696,179.0122737
12,2014,0,7440,0.300,2.354,1.299,0.495,FIJI,-18.1239696,179.0122737
1,2015,0,7440,0.168,2.367,1.329,0.496,FIJI,-18.1239696,179.0122737
2,2015,0,6720,0.204,2.447,1.327,0.506,FIJI,-18.1239696,179.0122737
3,2015,0,7440,0.209,2.353,1.3,0.500,FIJI,-18.1239696,179.0122737
4,2015,0,7200,0.245,2.342,1.271,0.488,FIJI,-18.1239696,179.0122737
5,2015,0,7440,0.169,2.200,1.232,0.487,FIJI,-18.1239696,179.0122737
6,2015,0,7200,0.215,2.161,1.2,0.488,FIJI,-18.1239696,179.0122737
7,2015,0,7440,0.209,2.259,1.191,0.494,FIJI,-18.1239696,179.0122737
8,2015,0,7440,0.118,2.274,1.217,0.512,FIJI,-18.1239696,179.0122737
9,2015,0,7200,0.209,2.348,1.254,0.511,FIJI,-18.1239696,179.0122737
10,2015,0,7440,0.192,2.345,1.276,0.502,FIJI,-18.1239696,179.0122737
11,2015,0,7200,0.300,2.484,1.347,0.492,FIJI,-18.1239696,179.0122737
12,2015,0,7440,0.304,2.327,1.341,0.481,FIJI,-18.1239696,179.0122737
1,2016,0,7440,0.236,2.176,1.241,0.480,FIJI,-18.1239696,179.0122737
2,2016,0,6960,0.273,2.364,1.327,0.498,FIJI,-18.1239696,179.0122737
3,2016,0,7440,0.174,2.270,1.258,0.488,FIJI,-18.1239696,179.0122737
4,2016,0,7200,0.144,2.275,1.241,0.491,FIJI,-18.1239696,179.0122737
5,2016,0,7440,0.050,2.204,1.139,0.487,FIJI,-18.1239696,179.0122737
6,2016,0,7200,0.127,2.257,1.211,0.492,FIJI,-18.1239696,179.0122737
7,2016,0,7440,0.216,2.238,1.23,0.495,FIJI,-18.1239696,179.0122737
8,2016,0,7440,0.249,2.207,1.254,0.500,FIJI,-18.1239696,179.0122737
9,2016,0,7200,0.289,2.280,1.28,0.500,FIJI,-18.1239696,179.0122737
10,2016,0,7440,0.238,2.411,1.304,0.501,FIJI,-18.1239696,179.0122737
11,2016,0,7200,0.139,2.383,1.299,0.495,FIJI,-18.1239696,179.0122737
12,2016,0,7440,0.182,2.395,1.301,0.487,FIJI,-18.1239696,179.0122737
1,2017,0,7440,0.185,2.319,1.296,0.490,FIJI,-18.1239696,179.0122737
2,2017,0,6720,0.267,2.321,1.283,0.495,FIJI,-18.1239696,179.0122737
3,2017,0,7440,0.302,2.214,1.246,0.502,FIJI,-18.1239696,179.0122737
4,2017,0,7200,0.232,2.308,1.262,0.495,FIJI,-18.1239696,179.0122737
5,2017,0,7440,0.127,2.326,1.288,0.490,FIJI,-18.1239696,179.0122737
6,2017,0,7200,0.118,2.364,1.272,0.492,FIJI,-18.1239696,179.0122737
7,2017,0,7440,0.183,2.346,1.262,0.484,FIJI,-18.1239696,179.0122737
8,2017,0,7440,0.256,2.321,1.314,0.478,FIJI,-18.1239696,179.0122737
9,2017,0,7200,0.358,2.213,1.324,0.479,FIJI,-18.1239696,179.0122737
10,2017,0,7440,0.414,2.279,1.355,0.481,FIJI,-18.1239696,179.0122737
11,2017,0,7200,0.294,2.352,1.345,0.486,FIJI,-18.1239696,179.0122737
12,2017,0,7440,0.250,2.404,1.32,0.497,FIJI,-18.1239696,179.0122737
1,2018,0,7440,0.088,2.447,1.327,0.512,FIJI,-18.1239696,179.0122737
2,2018,0,6720,0.222,2.467,1.302,0.497,FIJI,-18.1239696,179.0122737
3,2018,0,7440,0.185,2.431,1.321,0.510,FIJI,-18.1239696,179.0122737
4,2018,0,7200,0.364,2.202,1.264,0.491,FIJI,-18.1239696,179.0122737
5,2018,0,7440,0.259,2.234,1.247,0.478,FIJI,-18.1239696,179.0122737
6,2018,0,7200,0.170,2.255,1.239,0.473,FIJI,-18.1239696,179.0122737
7,2018,0,7440,0.185,2.377,1.278,0.480,FIJI,-18.1239696,179.0122737
8,2018,0,7440,0.154,2.364,1.27,0.485,FIJI,-18.1239696,179.0122737
9,2018,0,7200,0.213,2.314,1.307,0.489,FIJI,-18.1239696,179.0122737
10,2018,0,7440,0.270,2.278,1.309,0.492,FIJI,-18.1239696,179.0122737
11,2018,0,7200,0.279,2.299,1.309,0.497,FIJI,-18.1239696,179.0122737
12,2018,0,7440,0.264,2.368,1.347,0.491,FIJI,-18.1239696,179.0122737
1,2019,0,7440,0.151,2.377,1.338,0.490,FIJI,-18.1239696,179.0122737
2,2019,0,6720,0.144,2.383,1.336,0.497,FIJI,-18.1239696,179.0122737
